place,movie_title,rating,year,star_cast
1,Um Sonho de Liberdade,9.235817997660797,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,O Poderoso Chefão,9.15583925224442,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,Batman: O Cavaleiro das Trevas,8.991882413422251,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,O Poderoso Chefão II,8.983808562443022,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Homens e uma Sentença,8.953380122556078,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,A Lista de Schindler,8.940342191110698,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,O Senhor dos Anéis: O Retorno do Rei,8.932741396466147,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction: Tempo de Violência,8.846099941692934,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,O Senhor dos Anéis: A Sociedade do Anel,8.811220005952483,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1, Três Homens em Conflito,8.788708880120842,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump: O Contador de Histórias,8.766516955298544,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Clube da Luta,8.74761396119255,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,O Senhor dos Anéis: As Duas Torres,8.73693790921389,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,A Origem,8.732623661727741,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,O Império Contra-Ataca,8.6982454788943,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,Matrix,8.669170709659925,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Os Bons Companheiros,8.653349400466245,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,Um Estranho no Ninho,8.637670978081067,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Seven: Os Sete Crimes Capitais,8.604618007794505,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,A Felicidade Não se Compra,8.597624699908271,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
21,Os Sete Samurais,8.597571808544844,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
22,O Silêncio dos Inocentes,8.588312442374193,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,O Resgate do Soldado Ryan,8.579842388894425,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,Cidade de Deus,8.579203641154988,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
25,Interestelar,8.572811965148853,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,A Vida é Bela,8.568703267971628,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
27,À Espera de um Milagre,8.563731708518409,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Guerra nas Estrelas,8.54753021169399,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,O exterminador do futuro 2: O julgamento final,8.53824846264255,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,De Volta para o Futuro,8.517894348315355,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,A Viagem de Chihiro,8.515800999399533,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,O Pianista,8.50789601241806,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,Psicose,8.506235171010589,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
34,Parasita,8.50033713451796,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,O Profissional,8.49226225528026,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,O Rei Leão,8.487759877138842,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiador,8.487199082447688,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,A Outra História Americana,8.481215331434335,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,Os Infiltrados,8.476269348822441,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,Whiplash: Em Busca da Perfeição,8.469347175551512,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
41,O Grande Truque,8.469326449224859,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Os Suspeitos,8.468713540224243,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
43,Casablanca,8.461143881542426,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,Túmulo dos Vagalumes,8.456527771381717,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
45,Harakiri,8.456052296789476,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,Intocáveis,8.45318242478672,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
47,Tempos Modernos,8.446608732966038,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Era uma Vez no Oeste,8.440098563945343,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Cinema Paradiso,8.435814054938497,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
50,Janela Indiscreta,8.435097653344462,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien - O 8º Passageiro,8.433238381733245,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,Luzes da Cidade,8.431753970033602,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Apocalypse Now,8.422623575655406,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Amnésia,8.418833859191881,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Django Livre,8.409473793948033,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
56,Os Caçadores da Arca Perdida,8.405757747439043,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,WALL·E,8.3955284944443,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,A Vida dos Outros,8.38348312809096,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Crepúsculo dos Deuses,8.378698660986753,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
